,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,READ-MODIFY-WRITE - Operations,READ-MODIFY-WRITE - AverageLatency(us),READ-MODIFY-WRITE - MinLatency(us),READ-MODIFY-WRITE - MaxLatency(us),READ-MODIFY-WRITE - 95thPercentileLatency(us),READ-MODIFY-WRITE - 99thPercentileLatency(us),CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),UPDATE - Operations,UPDATE - AverageLatency(us),UPDATE - MinLatency(us),UPDATE - MaxLatency(us),UPDATE - 95thPercentileLatency(us),UPDATE - 99thPercentileLatency(us),UPDATE - Return=OK
10,3116,320.92426187419767,0,0,0.0,0,0,0.0,0,0,0.0,1000,788.939,158,15559,1619,1854,1000,508,4604.1988188976375,2264,8063,6599,7623,1,1307.0,1307,1307,1307,1307,508,3800.029527559055,1953,7323,5271,6111,508
11,3226,309.98140111593307,0,0,0.0,0,0,0.0,0,0,0.0,1000,828.18,206,17055,1493,1915,1000,517,4739.595744680851,2458,11415,6503,8647,1,3071.0,3070,3071,3071,3071,517,3888.131528046422,2160,8639,5295,6959,517
12,3005,332.77870216306155,0,0,0.0,0,0,0.0,0,0,0.0,1000,738.073,105,15583,1622,1836,1000,503,4527.037773359841,2146,12671,6943,8051,1,793.0,793,793,793,793,503,3740.192842942346,2019,10479,5387,6443,503
13,2888,346.26038781163436,0,0,0.0,0,0,0.0,0,0,0.0,1000,691.92,107,15567,1379,1690,1000,492,4414.6890243902435,2286,8231,6323,7739,1,3067.0,3066,3067,3067,3067,492,3714.930894308943,2070,7343,5207,6463,492
14,3034,329.5978905735003,0,0,0.0,0,0,0.0,0,0,0.0,1000,773.29,136,15271,1604,1998,1000,485,4673.8247422680415,2232,9047,6923,7875,1,3025.0,3024,3025,3025,3025,485,3871.5505154639177,1960,7383,5583,6211,485
15,3065,326.2642740619902,0,0,0.0,0,0,0.0,0,0,0.0,1000,768.526,110,15639,1599,1832,1000,497,4630.655935613682,2294,27439,6575,7791,1,4202.0,4200,4203,4203,4203,497,3815.0945674044265,2046,8759,5167,6099,497
16,3112,321.3367609254499,0,0,0.0,0,0,0.0,0,0,0.0,1000,784.27,123,15487,1614,2205,1000,501,4738.64870259481,2328,8999,6635,8119,1,3187.0,3186,3187,3187,3187,501,3940.175648702595,2182,8199,5319,6359,501
17,3140,318.47133757961785,0,0,0.0,0,0,0.0,0,0,0.0,1000,839.824,180,15439,1671,1947,1000,484,4947.650826446281,2702,29167,6923,8003,1,1015.0,1015,1015,1015,1015,484,4029.7293388429753,2278,8263,5483,6355,484
18,3137,318.77590054191904,0,0,0.0,0,0,0.0,0,0,0.0,1000,748.086,136,15663,1332,1645,1000,516,4752.073643410853,2428,8951,6583,8215,1,1433.0,1433,1433,1433,1433,516,3965.8624031007753,2186,7319,5559,7007,516
19,3340,299.4011976047904,0,0,0.0,0,0,0.0,0,0,0.0,1000,873.085,166,15631,1765,2271,1000,511,5027.823874755381,2312,27343,7651,9415,1,3339.0,3338,3339,3339,3339,511,4070.2681017612526,2070,9727,5807,7507,511
